state_abbr,county,offense,total_2023,latitude,longitude
NY,HAMILTON,Violent Crime,6.0,43.657879,-74.502456
CA,INYO,Property Crime,264.0,37.361378,-118.39636
MI,HILLSDALE,Property Crime,481.0,41.864475,-84.642409
CO,CHEYENNE,Violent Crime,1.0,38.835386,-102.604585
WI,VERNON,Property Crime,133.0,43.65536,-90.85611
SD,HANSON,Violent Crime,0.0,43.680612,-97.796845
MT,WHEATLAND,Violent Crime,7.0,46.497047,-109.857147
AR,STONE,Violent Crime,42.0,35.856989,-92.140494
ND,SHERIDAN,Violent Crime,0.0,47.581359,-100.330986
IN,MARSHALL,Property Crime,0.0,41.34162,-86.310776
NY,ESSEX,Violent Crime,56.0,44.043102,-73.45808
ID,GOODING,Property Crime,92.0,42.973185,-114.82142
NE,PERKINS,Violent Crime,1.0,40.856065,-101.636443
IN,JACKSON,Violent Crime,37.0,38.879627,-86.04306
WA,STEVENS,Property Crime,339.0,48.390648,-117.854897
VA,JAMES CITY,Violent Crime,101.0,37.324427,-76.778319
AL,MOBILE,Property Crime,8424.0,30.69399,-88.056145
VA,COVINGTON CITY,Property Crime,81.0,37.79127,-79.99537
TX,UVALDE,Violent Crime,68.0,29.211359,-99.78582
IL,SANGAMON,Violent Crime,1087.0,39.724815,-89.91036
OH,HENRY,Property Crime,249.0,41.39122,-84.12438
AR,GREENE,Violent Crime,463.0,36.186962,-90.38301
NV,CLARK,Violent Crime,10376.0,35.978218,-114.83407
OH,FAYETTE,Property Crime,384.0,39.536926,-83.44049
IA,MITCHELL,Violent Crime,4.0,43.348564,-92.784466
MO,NEW MADRID,Violent Crime,182.5,36.425343,-89.69932
IA,LINN,Violent Crime,581.0,42.070568,-91.66712
AR,INDEPENDENCE,Property Crime,518.0,35.771168,-91.65075
SD,PENNINGTON,Property Crime,3603.5,44.078087,-103.22213
CO,PROWERS,Property Crime,89.0,38.08611,-102.618866
ND,BOTTINEAU,Property Crime,35.0,48.794412,-100.831257
MS,UNION,Violent Crime,47.0,34.492767,-89.010605
MN,DODGE,Violent Crime,23.0,44.020706,-92.869353
FL,SARASOTA,Property Crime,3977.5,27.386393,-82.55911
VA,WARREN,Property Crime,421.0,38.908187,-78.207131
TN,HANCOCK,Violent Crime,20.0,36.521419,-83.227453
AL,LOWNDES,Property Crime,50.0,32.147888,-86.650586
KY,FLOYD,Property Crime,68.0,37.558283,-82.740337
WV,TUCKER,Property Crime,14.0,39.09689,-79.68106
AL,MADISON,Property Crime,4771.0,34.764238,-86.55108
NC,CHOWAN,Violent Crime,40.0,36.127288,-76.60207
WA,SPOKANE,Violent Crime,2330.0,47.620375,-117.403371
GA,HOUSTON,Property Crime,1848.5,32.458381,-83.662856
SD,DEUEL,Property Crime,12.0,44.75629,-96.690239
WI,JEFFERSON,Violent Crime,123.0,43.013807,-88.773985
MI,SCHOOLCRAFT,Property Crime,70.0,46.020758,-86.199352
IA,APPANOOSE,Violent Crime,34.0,40.744683,-92.870345
KS,SCOTT,Property Crime,17.0,38.48251,-100.90089
IN,BARTHOLOMEW,Property Crime,120.5,39.199764,-85.92089
KY,HENRY,Property Crime,60.0,38.451561,-85.120079
IL,POPE,Violent Crime,0.0,37.417169,-88.542374
CO,PUEBLO,Property Crime,7341.0,38.170658,-104.489892
IL,MACON,Property Crime,2134.0,39.83924,-88.95295
ND,WILLIAMS,Property Crime,808.0,46.464195,-98.526057
TX,DONLEY,Violent Crime,8.0,34.955036,-100.815846
OH,HARDIN,Violent Crime,32.0,40.636177,-83.60359
OR,CLACKAMAS,Property Crime,25637.0,45.26283,-122.69416
