state_abbr,county,latitude,longitude,total_population,poverty_universe,poverty_below,poverty_rate,no_population,total_reported_crime_Violent Crime,total_reported_crime_Property Crime,property_crime_per_100k_Property Crime,violent_crime_per_100k_Violent Crime
TX,HOPKINS,33.148959,-95.565194,37351,36750,4502,0.122503401360544,false,45,158,423.014109394661,120.478702042783
MN,WILKIN,46.362335,-96.476657,6413,6276,921,0.146749521988528,false,7,33,514.579759862779,109.153282395135
OK,MCINTOSH,35.369092,-95.671764,19237,18874,3944,0.208964713362297,false,38,263,1367.15704111868,197.535998336539
GA,TURNER,31.718232,-83.628566,8915,8657,1869,0.215894651726926,false,10,39,437.464946719013,112.170499158721
NY,TOMPKINS,42.453003,-76.473481,102879,88595,13547,0.152909306394266,false,131,2057,1999.43623091204,127.334052624928
NM,COLFAX,36.90456,-104.43978,12336,11709,1985,0.169527713724485,false,22,87,705.252918287938,178.339818417639
WY,SHERIDAN,44.816166,-106.956215,31585,30728,3012,0.0980213486071336,false,22,272,861.168276080418,69.6533164476809
TX,DIMMIT,28.521915,-99.86047,8507,8382,3758,0.448341684562157,false,24,127,1492.88820970965,282.120606559304
NC,LEE,35.476075,-79.17222,64565,63282,9787,0.154656932461047,false,97,938,1452.79950437544,150.236196081468
WI,CRAWFORD,43.24991,-90.95123,16064,15271,1918,0.125597537816777,false,46,259,1612.30079681275,286.354581673307
WA,WHITMAN,46.903322,-117.522962,47042,41126,9743,0.236906093468852,false,82,488,1037.37086008248,174.312316653204
CO,EAGLE,39.630638,-106.692944,55374,55036,4553,0.0827276691620031,false,80.5,591,1067.2878968469,145.37508578033
KY,JEFFERSON,38.218044,-85.6777,777392,762894,110819,0.145261333815707,false,5451.5,27906.5,3589.75909193817,701.254965319942
KY,TRIMBLE,38.618193,-85.355171,8531,8409,1107,0.131644666428826,false,1,11,128.941507443442,11.7219552221311
NE,FILLMORE,40.52504,-97.596705,5551,5359,423,0.0789326366859489,false,1,2,36.0295442262655,18.0147721131328
AR,ARKANSAS,34.500004,-91.55133,16773,16479,2425,0.147156987681291,false,140.5,393.5,2346.03231383772,837.655756274966
PA,NORTHUMBERLAND,40.851524,-76.709877,90925,87154,10671,0.122438442297542,false,104,709,779.763541380258,114.379983502887
RI,PROVIDENCE,41.983906,-71.51848,658977,631780,82273,0.130224128652379,false,1383,8750,1327.8156900772,209.870754214487
SC,WILLIAMSBURG,33.626463,-79.716475,30517,28958,6833,0.235962428344499,false,226.5,754.5,2472.39243700233,742.209260412229
IA,CLAY,43.079822,-95.149726,16446,16133,1848,0.114547821235976,false,13,150,912.075884713608,79.0465766751794
VA,MONTGOMERY,37.174884,-80.387314,99159,88622,21057,0.237604657985602,false,162,1373,1384.64486330036,163.37397513085
PA,UNMAPPED COUNTY,40.294674,-76.860855,,,,,true,0,0,,
AL,LAUDERDALE,34.904122,-87.650997,95037,92258,12584,0.136400095384682,false,335,1512,1590.9593105843,352.494291696918
NM,SAN JUAN,36.71903,-107.97912,121178,119767,27779,0.23194202075697,false,854,1857,1532.45638647279,704.748386670848
WY,WESTON,43.85474,-104.20272,6835,6367,668,0.104915972985708,false,15,67,980.248719824433,219.45866861741
