name,total_population,poverty_universe,poverty_below,poverty_rate,county,state_name,state_abbr
"Kiowa County, Colorado",1356,1329,170,0.12791572610985705,KIOWA,Colorado,CO
"Kit Carson County, Colorado",7015,6922,633,0.09144755850910141,KIT CARSON,Colorado,CO
"Lake County, Colorado",7411,7276,525,0.07215503023639362,LAKE,Colorado,CO
"La Plata County, Colorado",56088,54260,6755,0.12449318098046443,LA PLATA,Colorado,CO
"Larimer County, Colorado",363561,353725,39240,0.11093363488585765,LARIMER,Colorado,CO
"Las Animas County, Colorado",14392,13672,2378,0.17393212404915154,LAS ANIMAS,Colorado,CO
"Lincoln County, Colorado",5561,4325,447,0.10335260115606937,LINCOLN,Colorado,CO
"Logan County, Colorado",21067,19152,2506,0.13084795321637427,LOGAN,Colorado,CO
"Mesa County, Colorado",157316,153296,17123,0.11169893539296524,MESA,Colorado,CO
"Mineral County, Colorado",799,799,104,0.13016270337922403,MINERAL,Colorado,CO
"Moffat County, Colorado",13258,13154,1533,0.11654249657898738,MOFFAT,Colorado,CO
"Montezuma County, Colorado",26204,25865,3414,0.1319930407887106,MONTEZUMA,Colorado,CO
"Montrose County, Colorado",43272,42825,5101,0.11911266783420899,MONTROSE,Colorado,CO
"Morgan County, Colorado",29186,28641,3515,0.12272616179602668,MORGAN,Colorado,CO
"Otero County, Colorado",18460,18004,4249,0.23600311041990668,OTERO,Colorado,CO
"Ouray County, Colorado",5024,5018,253,0.05041849342367477,OURAY,Colorado,CO
"Park County, Colorado",17739,17593,1266,0.07196043881089069,PARK,Colorado,CO
"Phillips County, Colorado",4491,4414,695,0.15745355686452198,PHILLIPS,Colorado,CO
"Pitkin County, Colorado",17119,17066,1221,0.07154576350638697,PITKIN,Colorado,CO
"Prowers County, Colorado",11931,11613,1994,0.17170412468784982,PROWERS,Colorado,CO
"Pueblo County, Colorado",168726,164201,25321,0.1542073434388341,PUEBLO,Colorado,CO
"Rio Blanco County, Colorado",6518,6223,559,0.08982805720713483,RIO BLANCO,Colorado,CO
"Rio Grande County, Colorado",11394,11146,1662,0.14911178898259464,RIO GRANDE,Colorado,CO
"Routt County, Colorado",24990,24672,1580,0.06404020752269779,ROUTT,Colorado,CO
