Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
276,Alcorn County Elec Power Assn,MS,Cooperative,128.8,124.0,0,635873,0,635873,616253,0,0,552,19068,635873,57092.0,0.0,0.0,0.0,0.0,1250.0,635873,24116.0,221050.0,14710.0,20134.0,172906.0,4158.0,12842.0,222297.0,6.0,0.0,0.0,0.0,57092.0,616253.0,18874.0,2015
289,City of Alexander City,AL,Municipal,32.0,37.0,0,158464,0,158464,133996,0,0,0,24468,158464,14393.0,0.0,0.0,0.0,0.0,0.0,158464,6057.0,55505.0,5294.0,4221.0,28848.0,1011.0,4115.0,49643.0,67.0,0.0,0.0,0.0,14393.0,133996.0,6372.0,2015
295,City of Alexandria - (MN),MN,Municipal,56.3,47.3,0,300116,0,300116,284521,0,0,0,15595,300116,24584.6,0.0,0.0,0.0,0.0,328.0,300116,7551.8,73791.0,7843.0,3644.5,36934.0,1638.0,13388.3,173796.0,202.0,0.0,0.0,0.0,24584.6,284521.0,9683.0,2015
296,Alfalfa Electric Coop Inc,OK,Cooperative,202.0,194.0,0,1353484,0,1353484,1313229,13552,0,404,26299,1353484,78188.0,0.0,908.0,0.0,0.0,355.0,1353484,377.0,4004.0,221.0,1026.0,8423.0,727.0,1855.0,28212.0,22.0,0.0,0.0,0.0,3258.0,40639.0,970.0,2015
296,Alfalfa Electric Coop Inc,OK,Cooperative,202.0,194.0,0,1353484,0,1353484,1313229,13552,0,404,26299,1353484,78188.0,0.0,908.0,0.0,0.0,355.0,1353484,4624.0,49323.0,2733.0,8081.0,69957.0,4734.0,62225.0,1153310.0,229.0,0.0,0.0,0.0,74930.0,1272590.0,7696.0,2015
298,City of Alexandria - (LA),LA,Municipal,179.0,139.0,8,792690,0,792698,710134,0,4717,0,77847,792698,71487.0,0.0,0.0,0.0,1305.3,0.0,792698,31196.0,302676.0,19848.0,37998.0,371697.0,3270.0,2293.0,35761.0,420.0,0.0,0.0,0.0,71487.0,710134.0,23538.0,2015
305,Alger-Delta Coop Electric Assn,MI,Cooperative,14.5,14.2,0,83948,0,83948,74903,0,0,0,9045,83948,13908.4,0.0,0.0,0.0,0.0,0.0,83948,9872.0,47303.0,9399.0,2058.4,13061.0,549.0,1978.0,14539.0,1.0,0.0,0.0,0.0,13908.4,74903.0,9949.0,2015
307,Algoma Utility Comm,WI,Municipal,9.1,8.1,0,45630,0,45630,43741,0,0,74,1815,45630,4808.4,0.0,0.0,0.0,0.0,30.5,45630,1452.0,11103.0,1647.0,1665.6,14365.0,350.0,1690.8,18273.0,3.0,0.0,0.0,0.0,4808.4,43741.0,2000.0,2015
308,City of Acworth - (GA),GA,Municipal,27.4,17.0,0,98202,0,101806,96179,0,0,1537,4090,101806,13551.0,0.0,0.0,0.0,0.0,535.0,101806,8830.0,60545.0,5772.0,4721.0,35634.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,13551.0,96179.0,6378.0,2015
309,City of Algona - (IA),IA,Municipal,23.0,19.0,145198,58769,0,203967,110552,81729,0,4852,6834,203967,9865.0,0.0,2966.0,0.0,0.0,0.0,203967,3700.0,29240.0,3035.0,2831.0,25727.0,675.0,3334.0,55585.0,14.0,0.0,0.0,0.0,9865.0,110552.0,3724.0,2015
329,Allamakee-Clayton El Coop Inc,IA,Cooperative,28.6,28.6,0,141365,0,141365,124312,8922,0,522,7609,141365,17494.1,0.0,530.2,0.0,0.0,61.9,141365,15821.1,110655.0,9443.0,1673.0,13657.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,17494.1,124312.0,9953.0,2015
332,Allegheny Electric Coop Inc,PA,Cooperative,618.6,747.1,2119163,1377502,0,3580285,0,3517274,0,0,63011,3580285,0.0,0.0,211049.0,0.0,2600.0,0.0,3580285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
343,AEP Generating Company,OH,Investor Owned,2468.0,2508.0,12994269,0,0,12994269,0,12994269,0,0,0,12994269,0.0,0.0,541665.7,0.0,0.0,211.2,12994269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
367,City of Alliance- (NE),NE,Municipal,23.9,20.9,43,119660,0,115020,109242,0,2241,0,3537,115020,12516.5,0.0,0.0,0.0,0.0,769.5,115020,4811.8,38856.0,4185.0,4836.3,41293.0,1030.0,2868.4,29093.0,12.0,0.0,0.0,0.0,12516.5,109242.0,5227.0,2015
392,Alpena Power Co,MI,Investor Owned,60.0,55.0,0,360603,0,360603,343345,0,0,152,17106,360603,33664.0,0.0,0.0,0.0,0.0,251.0,360603,11959.0,86699.0,13718.0,12454.0,104584.0,3945.0,9251.0,152062.0,4.0,0.0,0.0,0.0,33664.0,343345.0,17667.0,2015
407,Altamaha Electric Member Corp,GA,Cooperative,91.3,107.0,0,431408,0,431408,409790,0,0,0,21618,431408,49038.0,0.0,0.0,0.0,0.0,653.0,431408,32197.0,236206.0,18209.0,10012.0,83278.0,1807.0,6829.0,90306.0,203.0,0.0,0.0,0.0,49038.0,409790.0,20219.0,2015
