Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
599,Anchorage Municipal Light and Power,AK,Municipal,132.0,153.0,722291,111829,0,834120,732828,101292,0,0,0,834120,121486.1,0.0,1850.5,1754.2,0.0,0.0,834120,23036.6,108035.0,24881.0,98449.5,624793.0,6410.0,0.0,0.0,0.0,0.0,0.0,0.0,121486.1,732828.0,31291.0,2020
604,City of Andalusia,AL,Municipal,56.1,50.0,0,382183,0,382183,377860,0,0,0,4323,382183,27881.0,0.0,0.0,0.0,0.0,0.0,382183,5466.0,41548.0,3677.0,8170.0,56747.0,1020.0,14245.0,279565.0,2.0,0.0,0.0,0.0,27881.0,377860.0,4699.0,2020
636,City of Anderson - (IN),IN,Municipal,174.8,134.5,0,906627,0,906627,834696,0,0,39563,32368,906627,81987.7,0.0,0.0,0.0,0.0,-70.7,906627,35346.4,305650.0,29496.0,27603.7,270493.0,3858.0,19037.6,258553.0,59.0,0.0,0.0,0.0,81987.7,834696.0,33413.0,2020
659,American Transmission Co,WI,Transmission,12067.9,8904.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,15856.7,740321.9,1937.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
689,Connexus Energy,MN,Cooperative,453.5,283.5,17244,2043095,0,2060339,1991732,0,0,0,68607,2060339,245373.6,0.0,0.0,0.0,0.0,0.0,2060339,168327.1,1241525.0,125058.0,63217.2,586469.0,11584.0,13829.3,163738.0,413.0,0.0,0.0,0.0,245373.6,1991732.0,137055.0,2020
690,City of Bardstown - (KY),KY,Municipal,41.4,30.9,0,179514,0,179514,172317,0,0,0,7197,179514,13504.0,0.0,0.0,0.0,0.0,0.0,179514,3645.0,42777.0,3435.0,4242.0,52404.0,1226.0,5617.0,77136.0,15.0,0.0,0.0,0.0,13504.0,172317.0,4676.0,2020
691,City of Anoka,MN,Municipal,63.6,38.5,0,276799,0,276799,270004,0,0,0,6795,276799,29270.0,0.0,0.0,0.0,0.0,27.0,276799,10411.0,76899.0,10941.0,8725.0,90994.0,1326.0,10134.0,102111.0,17.0,0.0,0.0,0.0,29270.0,270004.0,12284.0,2020
712,Arkansas River Power Authority,CO,Political Subdivision,63.7,40.5,23523,261863,0,285386,0,281063,0,0,4323,285386,0.0,0.0,28711.4,0.0,0.0,0.0,285386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
719,Town of Apex- (NC),NC,Municipal,109.6,75.3,0,373243,0,373243,347491,0,1995,10190,13567,373243,34109.7,0.0,0.0,0.0,0.0,0.0,373243,23718.5,231474.0,23377.0,10391.2,116017.0,1758.0,0.0,0.0,0.0,0.0,0.0,0.0,34109.7,347491.0,25135.0,2020
727,Appalachian Electric Coop,TN,Cooperative,202.0,242.0,0,970696,0,970696,914954,0,0,1091,54651,970696,99731.0,0.0,0.0,0.0,0.0,3618.4,970696,68036.0,598545.0,40865.0,27230.0,238976.0,6843.0,4465.0,77433.0,7.0,0.0,0.0,0.0,99731.0,914954.0,47715.0,2020
